Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Under paid,employee_count,Over Worked ,Number of Promotions,Year Since Last Promotion ,Salary Hike %,Number of company worked,Overtime,Distance from Home,Commute Category,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
17,19,Female,9,Technology,8242,1,1,0,2,1,13,6,Yes,17,Medium,High School,Single,3,Mid,Small,63,No,No,No,Fair,High,Left
18,33,Female,1,Finance,8733,0,1,0,1,4,15,1,Yes,86,Far,High School,Single,0,Mid,Small,19,No,No,No,Good,Low,Stayed
19,49,Female,37,Media,6252,0,1,0,2,4,11,5,No,60,Far,Bachelor’s Degree,Divorced,4,Senior,Medium,70,No,No,No,Good,High,Stayed
20,29,Male,9,Healthcare,7538,1,1,0,0,0,18,4,No,10,Near,Bachelor’s Degree,Married,0,Senior,Small,76,No,No,No,Good,High,Stayed
21,51,Female,41,Finance,8733,0,1,0,2,2,9,1,Yes,18,Medium,Master’s Degree,Divorced,3,Mid,Small,72,No,No,No,Good,High,Stayed
22,57,Female,33,Healthcare,8201,0,1,0,0,0,8,3,No,95,Far,PhD,Married,1,Mid,Medium,95,No,No,No,Fair,Medium,Stayed
23,39,Female,1,Finance,8079,1,1,0,1,2,19,2,No,23,Medium,Master’s Degree,Single,0,Entry,Medium,20,No,No,No,Poor,Low,Left
24,36,Male,13,Media,5874,1,1,0,0,0,15,5,No,16,Medium,High School,Single,1,Mid,Medium,40,No,No,No,Good,High,Left
25,54,Male,5,Education,4656,0,1,0,0,0,7,3,Yes,63,Far,High School,Single,0,Mid,Medium,60,No,No,No,Good,Low,Left
26,48,Male,9,Education,4987,0,1,0,1,4,10,7,No,92,Far,Associate Degree,Divorced,0,Entry,Medium,23,No,No,Yes,Good,Medium,Left
27,23,Male,13,Technology,12507,0,1,0,0,0,12,0,No,86,Far,High School,Single,1,Mid,Medium,83,No,No,Yes,Good,Low,Stayed
28,45,Female,21,Healthcare,7571,1,1,0,1,4,9,5,Yes,30,Medium,Associate Degree,Married,1,Entry,Small,67,Yes,No,No,Fair,Medium,Stayed
29,48,Male,32,Education,3535,1,1,0,0,0,10,4,Yes,48,Far,Bachelor’s Degree,Married,0,Senior,Medium,84,No,No,No,Good,Low,Stayed
30,45,Female,34,Finance,8330,1,1,0,0,0,11,4,Yes,58,Far,Bachelor’s Degree,Married,4,Mid,Medium,91,Yes,No,No,Good,High,Stayed
31,24,Male,11,Healthcare,6334,1,1,0,0,0,8,0,Yes,55,Far,Bachelor’s Degree,Divorced,2,Senior,Small,28,No,No,Yes,Good,Medium,Stayed
32,42,Male,1,Technology,8874,1,1,0,1,2,7,6,No,31,Far,Associate Degree,Divorced,2,Entry,Small,27,No,No,No,Poor,Very High,Stayed
33,53,Male,44,Healthcare,7364,1,1,0,1,3,8,3,No,92,Far,Associate Degree,Married,0,Mid,Small,55,No,Yes,No,Good,High,Left
34,39,Male,22,Finance,5556,1,1,0,0,0,27,1,No,16,Medium,Associate Degree,Married,0,Entry,Medium,28,No,No,No,Excellent,Low,Left
35,37,Male,2,Technology,9293,0,1,0,0,0,26,2,No,55,Far,Bachelor’s Degree,Married,0,Mid,Small,54,No,No,Yes,Fair,Low,Stayed
36,37,Male,6,Finance,7701,1,1,0,0,0,29,4,Yes,32,Far,High School,Married,1,Entry,Medium,71,No,Yes,Yes,Good,Low,Stayed
37,31,Male,18,Media,5105,1,1,0,2,1,17,0,No,82,Far,Bachelor’s Degree,Single,2,Senior,Small,46,No,No,Yes,Excellent,Very High,Left
38,37,Male,9,Healthcare,8632,0,1,0,2,1,28,4,No,8,Near,Master’s Degree,Divorced,2,Senior,Medium,86,Yes,No,No,Poor,High,Stayed
39,45,Female,27,Media,5315,1,1,0,2,3,6,1,Yes,74,Far,Associate Degree,Married,4,Entry,Small,70,No,No,Yes,Poor,Low,Stayed
40,57,Female,23,Media,5938,1,1,0,2,3,8,4,Yes,3,Near,Master’s Degree,Divorced,3,Mid,Medium,47,No,No,No,Good,Medium,Stayed
41,42,Female,2,Media,6213,0,1,0,0,0,11,2,No,5,Near,Bachelor’s Degree,Single,4,Entry,Small,69,No,No,No,Good,Medium,Left
42,31,Female,17,Media,5956,1,1,0,0,0,10,3,No,76,Far,Bachelor’s Degree,Divorced,4,Entry,Small,27,No,No,No,Good,Low,Left
43,56,Female,22,Media,6605,0,1,0,2,4,9,6,Yes,47,Far,Bachelor’s Degree,Married,2,Mid,Medium,74,No,No,No,Good,Low,Stayed
44,34,Male,12,Finance,8274,1,1,0,0,0,30,2,Yes,67,Far,Bachelor’s Degree,Single,1,Entry,Medium,36,No,No,No,Poor,Low,Left
45,56,Male,7,Technology,9878,0,1,0,2,2,5,6,No,58,Far,Master’s Degree,Single,1,Entry,Small,22,No,No,No,Good,Low,Left
46,47,Female,36,Technology,8442,1,1,0,1,3,12,1,No,84,Far,Associate Degree,Single,0,Entry,Medium,67,Yes,No,No,Poor,Low,Left
47,25,Female,2,Healthcare,6690,1,1,0,0,0,12,7,Yes,14,Medium,Associate Degree,Married,2,Entry,Medium,25,Yes,No,No,Good,Medium,Stayed
48,25,Female,3,Healthcare,8397,0,1,0,0,0,15,0,Yes,36,Far,Bachelor’s Degree,Married,3,Entry,Small,49,Yes,No,No,Poor,Low,Stayed
49,36,Male,8,Technology,9775,0,1,0,1,1,27,5,Yes,79,Far,Bachelor’s Degree,Single,1,Mid,Medium,61,No,No,Yes,Good,High,Left
50,41,Male,28,Media,5586,1,1,0,0,0,9,7,No,52,Far,Associate Degree,Married,0,Entry,Small,103,No,No,No,Good,Medium,Stayed
51,55,Female,6,Healthcare,9355,0,1,0,0,0,9,3,Yes,44,Far,Bachelor’s Degree,Married,3,Senior,Small,64,No,No,Yes,Poor,High,Left
52,48,Female,18,Technology,7976,1,1,0,0,0,6,3,Yes,32,Far,High School,Single,2,Mid,Small,71,No,No,No,Good,Medium,Left
53,21,Male,11,Media,6356,0,1,0,0,0,15,5,No,89,Far,Associate Degree,Married,0,Senior,Medium,12,No,No,No,Good,High,Stayed
54,34,Male,21,Media,5967,1,1,0,1,4,15,5,No,39,Far,Bachelor’s Degree,Married,0,Mid,Small,39,Yes,No,No,Good,Medium,Stayed
55,28,Female,12,Technology,10111,0,1,0,2,4,13,3,No,37,Far,High School,Married,3,Mid,Small,33,No,No,No,Good,Low,Stayed
56,26,Male,3,Finance,8673,0,1,0,0,0,20,2,No,64,Far,Associate Degree,Single,1,Entry,Large,57,No,No,Yes,Good,Medium,Left
57,47,Male,22,Education,5040,0,1,0,3,2,6,3,Yes,7,Near,High School,Married,0,Mid,Medium,58,Yes,No,No,Good,Low,Stayed
58,30,Female,22,Technology,9894,0,1,0,1,2,19,7,No,87,Far,Associate Degree,Single,2,Entry,Small,65,Yes,No,No,Excellent,Medium,Left
59,24,Male,13,Technology,6785,1,1,0,0,0,13,7,No,24,Medium,Bachelor’s Degree,Single,3,Senior,Small,57,No,No,Yes,Fair,High,Left
60,23,Female,2,Finance,7368,1,1,0,0,0,14,7,No,15,Medium,Master’s Degree,Married,3,Senior,Small,17,No,No,Yes,Good,High,Stayed
61,52,Male,34,Media,5154,1,1,0,0,0,7,6,Yes,16,Medium,High School,Single,2,Mid,Small,83,No,No,No,Fair,Medium,Left
62,51,Male,16,Healthcare,8407,0,1,0,1,2,12,5,No,63,Far,Bachelor’s Degree,Single,1,Entry,Small,66,No,No,No,Good,Low,Left
63,50,Male,21,Education,4195,1,1,0,2,2,9,0,Yes,76,Far,Bachelor’s Degree,Married,2,Entry,Small,100,Yes,No,No,Good,Very High,Stayed
64,45,Male,6,Education,4451,1,1,0,0,0,10,0,No,81,Far,High School,Married,2,Entry,Large,65,No,No,No,Fair,Medium,Stayed
65,31,Female,11,Technology,10122,0,1,0,2,4,12,2,No,58,Far,Bachelor’s Degree,Married,0,Senior,Small,62,Yes,No,No,Poor,Low,Stayed
66,50,Male,35,Finance,7303,1,1,0,1,4,9,3,Yes,48,Far,High School,Married,1,Entry,Medium,84,Yes,No,Yes,Poor,High,Stayed
67,29,Male,8,Finance,7946,1,1,0,0,0,19,3,No,75,Far,Associate Degree,Single,1,Mid,Medium,17,No,Yes,No,Poor,High,Left
68,27,Male,14,Finance,6026,1,1,1,0,0,17,4,Yes,30,Medium,Bachelor’s Degree,Single,2,Mid,Large,20,No,No,No,Good,High,Left
69,48,Male,1,Technology,10135,0,1,1,0,0,10,3,Yes,13,Medium,Bachelor’s Degree,Single,3,Entry,Small,72,No,No,No,Good,Medium,Left
70,47,Male,24,Healthcare,8631,0,1,0,0,0,8,2,No,35,Far,Bachelor’s Degree,Married,3,Senior,Medium,89,No,No,No,Poor,Low,Stayed
71,41,Female,11,Education,4431,1,1,0,0,0,8,6,No,8,Near,Associate Degree,Married,2,Senior,Medium,80,No,No,No,Excellent,Low,Left
72,53,Female,2,Education,3598,1,1,0,0,0,9,3,Yes,98,Far,Associate Degree,Single,1,Entry,Large,69,No,No,Yes,Fair,Medium,Left
73,37,Female,2,Healthcare,7949,1,1,0,0,0,22,0,No,95,Far,High School,Married,5,Entry,Large,6,Yes,No,No,Excellent,Low,Stayed
74,21,Female,10,Healthcare,7967,1,1,0,0,0,10,6,No,44,Far,Master’s Degree,Single,1,Senior,Large,64,No,No,No,Fair,High,Stayed
75,53,Female,23,Healthcare,8876,0,1,0,2,4,12,7,Yes,68,Far,High School,Married,3,Entry,Medium,78,No,No,Yes,Good,High,Left
76,45,Female,28,Media,6628,0,1,0,0,0,7,4,Yes,56,Far,Bachelor’s Degree,Married,3,Senior,Medium,30,No,No,No,Fair,Low,Left
77,49,Male,9,Healthcare,8340,0,1,0,1,4,7,6,No,73,Far,Bachelor’s Degree,Single,0,Entry,Large,77,No,No,No,Fair,Low,Left
78,37,Male,22,Finance,10080,0,1,0,0,0,18,6,No,21,Medium,Bachelor’s Degree,Married,1,Mid,Medium,69,No,No,No,Good,Medium,Left
79,39,Male,9,Finance,8860,0,1,0,0,0,28,4,Yes,26,Medium,Bachelor’s Degree,Married,1,Mid,Medium,61,No,No,No,Fair,Medium,Left
80,27,Male,17,Media,5678,1,1,0,2,1,15,1,No,41,Far,Bachelor’s Degree,Married,2,Mid,Medium,54,No,No,No,Good,Low,Stayed
81,58,Male,14,Technology,8683,1,1,0,2,3,10,1,No,34,Far,Bachelor’s Degree,Divorced,0,Senior,Large,87,Yes,Yes,Yes,Good,Low,Stayed
82,49,Female,2,Education,4042,1,1,0,0,0,5,4,No,29,Medium,Associate Degree,Divorced,2,Entry,Medium,58,No,No,No,Good,High,Left
83,54,Male,24,Technology,9737,0,1,0,0,0,9,5,No,8,Near,Bachelor’s Degree,Married,0,Entry,Medium,88,Yes,No,No,Fair,Low,Stayed
84,38,Male,18,Education,5246,0,1,0,0,0,18,3,Yes,84,Far,Master’s Degree,Divorced,2,Mid,Medium,20,No,No,No,Good,Low,Left
85,19,Female,1,Finance,10141,0,1,0,1,4,8,4,No,19,Medium,Bachelor’s Degree,Single,1,Entry,Large,41,No,No,Yes,Fair,Medium,Left
86,43,Male,34,Technology,9033,1,1,0,1,3,12,7,No,50,Far,High School,Married,1,Entry,Medium,97,No,No,No,Poor,Medium,Stayed
87,30,Male,10,Media,5397,1,1,0,1,1,20,7,Yes,68,Far,Bachelor’s Degree,Married,0,Entry,Large,75,No,No,No,Poor,Low,Left
88,31,Male,19,Healthcare,6135,1,1,0,0,0,25,3,No,41,Far,PhD,Single,0,Entry,Medium,88,No,No,No,Good,Medium,Stayed
89,47,Male,28,Healthcare,7063,1,1,0,0,0,12,3,No,62,Far,Associate Degree,Married,0,Senior,Medium,49,No,No,Yes,Good,Medium,Stayed
90,58,Female,40,Media,6940,0,1,0,0,0,5,3,No,49,Far,Bachelor’s Degree,Married,1,Senior,Large,67,Yes,No,No,Poor,Medium,Stayed
91,40,Male,17,Education,4733,0,1,0,1,1,26,4,No,69,Far,PhD,Married,4,Entry,Small,60,No,No,No,Excellent,Medium,Stayed
92,35,Male,17,Healthcare,7625,1,1,0,0,0,18,5,No,26,Medium,Bachelor’s Degree,Married,0,Mid,Large,31,No,No,No,Good,High,Stayed
93,31,Female,2,Technology,6640,1,1,0,0,0,16,4,No,13,Medium,Associate Degree,Divorced,4,Senior,Large,33,No,No,Yes,Good,High,Stayed
94,31,Male,8,Technology,7287,1,1,0,2,1,16,4,Yes,33,Far,Master’s Degree,Single,0,Entry,Small,69,No,No,Yes,Excellent,Medium,Stayed
95,40,Male,5,Healthcare,6993,1,1,0,0,0,28,4,Yes,57,Far,High School,Single,0,Entry,Large,75,No,No,No,Fair,Low,Left
96,49,Female,22,Finance,12041,0,1,0,0,0,5,6,No,62,Far,PhD,Single,6,Mid,Small,23,No,No,Yes,Good,Low,Stayed
97,33,Female,1,Finance,6534,1,1,0,1,4,19,2,No,21,Medium,Master’s Degree,Single,4,Entry,Small,12,No,No,No,Good,Medium,Left
98,52,Male,15,Healthcare,7529,1,1,0,0,0,6,7,No,61,Far,Bachelor’s Degree,Married,5,Entry,Large,34,No,No,No,Good,Very High,Stayed
99,51,Male,12,Finance,4421,1,1,0,1,4,11,5,No,62,Far,Master’s Degree,Single,0,Entry,Medium,14,Yes,No,No,Good,High,Stayed
100,27,Female,11,Technology,9197,0,1,0,0,0,17,6,Yes,53,Far,High School,Married,2,Senior,Large,35,No,No,No,Good,Medium,Stayed
101,58,Male,6,Healthcare,8762,0,1,0,0,0,8,7,Yes,72,Far,Bachelor’s Degree,Married,0,Entry,Small,38,No,No,No,Good,Medium,Left
102,42,Female,7,Technology,8744,1,1,0,1,3,12,1,Yes,41,Far,High School,Single,3,Entry,Small,71,Yes,No,Yes,Good,Medium,Left
103,26,Male,3,Healthcare,7406,1,1,0,3,3,25,6,No,91,Far,Associate Degree,Married,0,Entry,Medium,57,Yes,No,No,Poor,Low,Left
104,37,Female,7,Media,6099,0,1,0,0,0,28,7,No,19,Medium,Bachelor’s Degree,Married,0,Senior,Small,16,Yes,No,No,Excellent,Low,Stayed
105,55,Male,13,Technology,9626,0,1,0,2,1,10,6,No,27,Medium,Bachelor’s Degree,Single,0,Senior,Small,81,No,No,Yes,Good,High,Stayed
106,46,Female,6,Technology,10298,0,1,0,0,0,10,1,No,47,Far,Bachelor’s Degree,Single,0,Entry,Medium,84,No,No,No,Fair,Low,Left
107,41,Male,2,Technology,8972,1,1,0,1,3,11,7,No,76,Far,Master’s Degree,Divorced,1,Mid,Large,72,No,No,Yes,Excellent,Low,Left
108,58,Female,14,Technology,9501,0,1,0,1,4,6,0,Yes,56,Far,Bachelor’s Degree,Single,4,Entry,Large,52,No,No,No,Poor,Medium,Left
109,40,Female,22,Education,4023,1,1,0,0,0,18,3,No,58,Far,Master’s Degree,Married,4,Entry,Medium,55,No,Yes,No,Good,Medium,Left
110,53,Male,41,Finance,8332,1,1,0,0,0,7,6,No,24,Medium,Master’s Degree,Single,4,Entry,Medium,47,No,No,No,Good,High,Left
111,46,Female,9,Education,4237,1,1,0,0,0,8,4,Yes,36,Far,Bachelor’s Degree,Married,1,Senior,Large,20,No,No,No,Poor,Medium,Left
112,45,Male,9,Education,6437,0,1,0,1,2,5,7,No,53,Far,Associate Degree,Married,4,Mid,Medium,31,No,No,No,Poor,Medium,Left
113,56,Male,32,Healthcare,6690,1,1,0,1,2,9,3,No,35,Far,High School,Married,1,Entry,Small,80,No,No,No,Fair,Low,Stayed
114,23,Male,11,Technology,7038,1,1,0,0,0,9,1,No,74,Far,Associate Degree,Married,0,Entry,Large,55,No,No,No,Fair,Low,Left
115,55,Male,40,Healthcare,9177,0,1,0,0,0,12,0,No,65,Far,Associate Degree,Single,0,Mid,Medium,106,No,No,No,Excellent,Low,Left
116,48,Female,19,Technology,8761,1,1,0,0,0,6,6,No,75,Far,High School,Married,3,Entry,Medium,90,Yes,No,No,Poor,Very High,Stayed
117,47,Male,24,Media,5428,1,1,0,0,0,11,2,Yes,93,Far,Associate Degree,Divorced,1,Entry,Medium,49,No,No,No,Good,Medium,Stayed
118,26,Female,8,Healthcare,7859,1,1,0,4,2,14,3,No,44,Far,High School,Married,5,Senior,Small,35,No,No,No,Good,Low,Stayed
119,21,Male,4,Technology,10298,0,1,0,2,4,15,0,No,28,Medium,High School,Single,0,Senior,Medium,53,No,No,No,Fair,Low,Left
120,44,Male,13,Healthcare,7430,1,1,0,1,1,8,0,Yes,23,Medium,Associate Degree,Married,3,Mid,Medium,73,No,No,No,Good,Low,Stayed
121,24,Male,2,Education,4573,0,1,0,2,3,8,2,Yes,37,Far,Bachelor’s Degree,Married,0,Senior,Small,62,No,No,No,Good,Medium,Stayed
122,31,Male,13,Technology,9434,0,1,0,0,0,21,4,No,76,Far,Bachelor’s Degree,Married,0,Mid,Medium,83,Yes,No,No,Fair,Low,Stayed
123,45,Female,24,Finance,4583,1,1,0,2,2,12,1,Yes,55,Far,Associate Degree,Married,1,Mid,Medium,62,No,No,No,Good,Medium,Left
124,19,Male,3,Healthcare,7979,1,1,0,1,2,9,2,Yes,46,Far,High School,Married,2,Entry,Medium,27,No,No,Yes,Fair,Medium,Left
125,59,Female,30,Technology,10166,0,1,0,1,1,12,2,No,32,Far,Associate Degree,Married,1,Entry,Medium,37,No,No,No,Good,High,Left
126,50,Male,35,Media,5316,1,1,0,2,2,10,4,No,21,Medium,Bachelor’s Degree,Married,0,Mid,Medium,80,Yes,No,No,Good,Medium,Stayed
127,59,Male,45,Technology,10030,0,1,0,2,1,7,7,No,64,Far,High School,Married,3,Mid,Large,52,No,No,No,Poor,Low,Left
128,54,Male,2,Healthcare,8736,0,1,0,0,0,9,4,Yes,86,Far,Associate Degree,Single,1,Entry,Small,5,No,No,No,Poor,Low,Left
129,58,Female,39,Healthcare,6929,1,1,0,0,0,8,6,No,56,Far,Associate Degree,Married,3,Entry,Large,76,No,Yes,Yes,Poor,High,Left
130,21,Male,2,Healthcare,10167,0,1,0,0,0,15,7,Yes,54,Far,Associate Degree,Married,2,Mid,Medium,65,No,No,No,Fair,Medium,Left
131,51,Male,16,Healthcare,9063,0,1,0,0,0,10,0,No,9,Near,Associate Degree,Single,1,Mid,Small,90,No,No,Yes,Good,Low,Left
132,45,Female,20,Healthcare,8926,0,1,0,4,1,7,4,No,89,Far,High School,Single,1,Senior,Small,80,Yes,No,No,Good,Medium,Stayed
133,30,Female,15,Education,3204,1,1,0,0,0,10,3,No,45,Far,Bachelor’s Degree,Divorced,1,Senior,Small,94,No,Yes,No,Excellent,Low,Stayed
134,29,Female,11,Finance,9306,0,1,0,0,0,19,7,No,51,Far,Master’s Degree,Single,2,Entry,Large,45,No,No,No,Excellent,Low,Left
135,59,Male,43,Education,4862,0,1,0,0,0,12,1,No,28,Medium,Associate Degree,Married,1,Mid,Small,119,No,No,No,Good,High,Stayed
136,35,Female,26,Technology,7576,1,1,0,4,3,20,4,No,81,Far,High School,Married,5,Mid,Small,53,No,No,Yes,Good,Low,Stayed
137,40,Female,29,Finance,11735,0,1,0,3,3,22,5,No,87,Far,Associate Degree,Divorced,3,Entry,Small,56,No,No,No,Fair,Medium,Stayed
138,20,Male,2,Media,6453,0,1,0,0,0,8,7,No,51,Far,Associate Degree,Married,0,Entry,Small,62,No,No,No,Good,High,Stayed
139,50,Male,18,Technology,7359,1,1,0,1,2,12,7,No,67,Far,Associate Degree,Divorced,2,Entry,Medium,63,No,No,No,Good,Low,Left
140,44,Male,35,Healthcare,7838,1,1,0,1,4,12,1,No,19,Medium,Associate Degree,Married,4,Senior,Small,53,No,No,No,Excellent,High,Stayed
141,20,Female,3,Technology,10943,0,1,0,0,0,8,3,No,62,Far,Associate Degree,Single,0,Entry,Medium,15,No,No,No,Fair,Medium,Left
142,28,Male,20,Finance,10513,0,1,0,0,0,15,1,No,73,Far,Bachelor’s Degree,Married,1,Mid,Medium,94,No,Yes,No,Poor,Medium,Stayed
143,28,Male,6,Healthcare,6669,1,1,0,0,0,10,3,No,39,Far,PhD,Single,3,Mid,Large,41,No,No,No,Poor,Low,Left
144,36,Male,17,Technology,8309,1,1,0,2,1,22,6,Yes,24,Medium,Associate Degree,Single,0,Mid,Large,89,No,No,No,Good,Low,Stayed
145,40,Male,4,Media,6426,0,1,0,0,0,23,5,No,13,Medium,Bachelor’s Degree,Married,1,Entry,Medium,10,No,No,No,Excellent,Medium,Left
146,56,Female,46,Healthcare,8423,0,1,0,0,0,9,1,No,96,Far,Master’s Degree,Single,3,Entry,Medium,118,No,No,No,Fair,Medium,Left
147,47,Male,1,Technology,8723,1,1,0,2,1,8,5,No,73,Far,High School,Married,1,Senior,Small,32,No,No,No,Fair,Low,Stayed
148,21,Male,13,Healthcare,9152,0,1,0,0,0,9,4,No,60,Far,Bachelor’s Degree,Married,0,Entry,Medium,20,Yes,No,No,Good,Very High,Stayed
149,18,Female,7,Technology,8546,1,1,1,0,0,12,2,Yes,94,Far,High School,Single,1,Senior,Small,64,Yes,No,No,Fair,High,Left
150,22,Female,13,Media,5797,1,1,0,0,0,8,6,No,78,Far,PhD,Married,4,Entry,Small,49,Yes,No,No,Good,Medium,Stayed
151,52,Male,19,Education,3625,1,1,0,1,1,5,5,No,54,Far,High School,Married,2,Mid,Small,32,No,No,No,Good,Low,Stayed
152,44,Male,36,Finance,8048,1,1,0,2,3,8,6,No,72,Far,High School,Single,3,Mid,Medium,57,Yes,No,No,Fair,Medium,Left
153,42,Male,26,Education,4205,1,1,0,1,2,6,0,No,89,Far,Master’s Degree,Single,3,Senior,Medium,39,No,No,No,Fair,High,Stayed
154,53,Male,41,Education,4373,1,1,0,2,1,9,5,Yes,91,Far,Master’s Degree,Married,4,Mid,Medium,53,No,No,No,Poor,Medium,Left
155,22,Male,2,Finance,6925,1,1,0,1,3,10,6,No,79,Far,Associate Degree,Married,2,Senior,Medium,73,Yes,No,No,Fair,Medium,Stayed
156,50,Male,38,Healthcare,8299,0,1,0,0,0,5,1,No,28,Medium,Bachelor’s Degree,Single,0,Mid,Large,59,No,No,No,Fair,High,Left
157,56,Female,40,Technology,11556,0,1,0,2,4,11,7,No,1,Near,PhD,Single,2,Mid,Small,66,No,No,No,Excellent,Medium,Stayed
158,42,Male,10,Media,5820,1,1,0,1,3,7,6,Yes,86,Far,High School,Single,2,Senior,Small,82,No,No,Yes,Excellent,High,Left
159,18,Male,6,Technology,7631,1,1,0,0,0,11,3,No,1,Near,Master’s Degree,Single,3,Entry,Medium,69,No,No,No,Good,Low,Left
160,39,Male,3,Media,5891,1,1,0,2,3,27,6,Yes,88,Far,High School,Divorced,4,Mid,Small,9,No,No,No,Good,Medium,Left
161,22,Female,9,Finance,8376,1,1,0,3,3,9,6,No,46,Far,High School,Single,1,Mid,Medium,11,No,No,No,Good,Medium,Left
162,28,Male,3,Media,6185,0,1,0,0,0,22,5,No,51,Far,Associate Degree,Married,0,Mid,Medium,62,No,No,Yes,Fair,Low,Left
163,47,Female,13,Healthcare,6467,1,1,0,2,3,9,5,No,25,Medium,Bachelor’s Degree,Divorced,2,Entry,Medium,82,No,No,No,Poor,High,Left
164,56,Female,6,Finance,6954,1,1,0,1,4,11,2,No,65,Far,Bachelor’s Degree,Married,2,Entry,Small,17,Yes,No,No,Good,Medium,Left
165,51,Female,33,Technology,7647,1,1,0,1,1,7,3,Yes,6,Near,High School,Married,1,Mid,Small,44,No,No,No,Fair,Low,Left
166,55,Female,43,Healthcare,7440,1,1,1,0,0,10,5,Yes,1,Near,High School,Married,0,Entry,Small,97,Yes,No,No,Good,Medium,Left
167,56,Male,38,Healthcare,8883,0,1,0,0,0,10,2,No,69,Far,Master’s Degree,Divorced,3,Mid,Medium,100,No,No,No,Fair,Low,Left
168,24,Male,8,Education,5652,0,1,0,0,0,14,2,No,76,Far,High School,Married,1,Senior,Small,23,No,No,No,Fair,Medium,Stayed
169,26,Male,5,Finance,7376,1,1,0,0,0,25,4,No,70,Far,Bachelor’s Degree,Married,1,Senior,Large,33,No,No,Yes,Poor,Low,Left
170,52,Male,26,Technology,7306,1,1,0,0,0,9,1,Yes,19,Medium,High School,Single,3,Entry,Small,35,Yes,No,No,Fair,Low,Stayed
171,54,Male,42,Finance,10006,0,1,0,0,0,5,6,No,75,Far,Master’s Degree,Married,1,Senior,Small,93,No,No,No,Good,Medium,Stayed
172,45,Male,6,Technology,11421,0,1,0,1,1,12,7,No,18,Medium,Bachelor’s Degree,Divorced,4,Mid,Small,27,Yes,No,Yes,Good,Low,Stayed
173,20,Male,9,Healthcare,8161,0,1,0,0,0,11,2,No,86,Far,Bachelor’s Degree,Single,2,Mid,Medium,35,No,No,No,Good,Medium,Left
174,51,Male,10,Education,3755,1,1,0,0,0,6,1,No,61,Far,High School,Divorced,0,Entry,Medium,26,No,No,No,Good,Medium,Left
175,51,Male,22,Media,5405,1,1,0,1,4,8,4,No,57,Far,Master’s Degree,Married,3,Entry,Small,27,No,No,No,Fair,Medium,Stayed
