Emp ID,PerformanceRating,job involvement,
328,Average,low involvement,
329,below average,low involvement,
330,Average,low involvement,
331,Average,moderate involvement,
332,Average,low involvement,
333,Average,low involvement,
334,Average,low involvement,
335,Average,low involvement,
336,Average,low involvement,
337,Average,low involvement,
338,Average,low involvement,
339,Average,moderate involvement,
340,Average,high involvement,
341,low,low involvement,
342,Average,low involvement,
343,below average,low involvement,
344,Average,low involvement,
345,high,moderate involvement,
346,Average,low involvement,
347,Average,low involvement,
348,Average,moderate involvement,
349,high,low involvement,
350,Average,low involvement,
351,high,moderate involvement,
352,Average,low involvement,
353,Average,low involvement,
354,Average,low involvement,
355,Average,high involvement,
356,Average,low involvement,
357,low,low involvement,
358,Average,low involvement,
359,Average,low involvement,
360,Average,low involvement,
361,below average,low involvement,
362,high,low involvement,
363,high,low involvement,
364,Average,low involvement,
365,Average,low involvement,
366,high,low involvement,
367,Average,low involvement,
368,high,low involvement,
369,Average,moderate involvement,
370,low,low involvement,
371,Average,low involvement,
372,high,very high involvement,
373,Average,low involvement,
374,Average,low involvement,
375,below average,low involvement,
376,Average,low involvement,
377,high,low involvement,
378,low,low involvement,
379,high,moderate involvement,
380,below average,low involvement,
381,low,low involvement,
382,Average,low involvement,
383,Average,low involvement,
384,below average,low involvement,
385,Average,low involvement,
386,high,low involvement,
387,low,moderate involvement,
388,Average,moderate involvement,
389,high,low involvement,
390,Average,low involvement,
391,Average,low involvement,
392,Average,low involvement,
393,below average,moderate involvement,
394,Average,low involvement,
395,Average,low involvement,
396,below average,moderate involvement,
397,Average,low involvement,
398,high,low involvement,
399,below average,high involvement,
400,Average,low involvement,
401,Average,low involvement,
402,Average,low involvement,
403,Average,low involvement,
404,high,low involvement,
405,Average,low involvement,
406,Average,low involvement,
407,high,low involvement,
408,Average,moderate involvement,
409,Average,low involvement,
410,low,high involvement,
411,low,moderate involvement,
412,Average,low involvement,
413,Average,moderate involvement,
414,Average,low involvement,
415,below average,low involvement,
416,high,low involvement,
417,below average,moderate involvement,
418,high,high involvement,
419,Average,moderate involvement,
420,high,low involvement,
421,low,low involvement,
422,Average,low involvement,
423,high,low involvement,
424,Average,low involvement,
425,Average,low involvement,
426,Average,low involvement,
427,below average,moderate involvement,
428,Average,low involvement,
429,Average,low involvement,
430,high,low involvement,
431,Average,moderate involvement,
432,Average,moderate involvement,
433,Average,low involvement,
434,Average,low involvement,
435,high,low involvement,
436,high,low involvement,
437,high,low involvement,
438,Average,moderate involvement,
439,Average,moderate involvement,
440,high,low involvement,
441,Average,low involvement,
442,Average,low involvement,
443,high,low involvement,
444,below average,low involvement,
445,Average,low involvement,
446,Average,low involvement,
447,Average,low involvement,
448,below average,low involvement,
449,Average,low involvement,
450,Average,low involvement,
451,Average,low involvement,
452,Average,moderate involvement,
453,Average,low involvement,
454,Average,low involvement,
455,below average,moderate involvement,
456,Average,low involvement,
457,high,low involvement,
458,Average,low involvement,
459,high,low involvement,
460,Average,low involvement,
461,high,low involvement,
462,high,low involvement,
463,low,low involvement,
464,high,low involvement,
465,below average,low involvement,
466,Average,low involvement,
467,Average,low involvement,
468,Average,low involvement,
469,Average,low involvement,
470,below average,low involvement,
471,below average,low involvement,
472,Average,moderate involvement,
473,below average,low involvement,
474,Average,low involvement,
475,Average,low involvement,
476,high,moderate involvement,
477,Average,low involvement,
478,Average,low involvement,
479,below average,low involvement,
480,high,low involvement,
481,Average,low involvement,
482,Average,low involvement,
483,Average,low involvement,
484,Average,low involvement,
485,Average,low involvement,
486,high,low involvement,
487,Average,low involvement,
488,low,low involvement,
489,low,low involvement,
490,Average,low involvement,
491,Average,low involvement,
492,Average,low involvement,
493,Average,low involvement,
494,below average,low involvement,
495,below average,moderate involvement,
496,Average,low involvement,
497,high,low involvement,
498,Average,moderate involvement,
499,high,high involvement,
500,Average,low involvement,
501,Average,moderate involvement,
502,Average,low involvement,
503,low,low involvement,
504,below average,low involvement,
505,high,moderate involvement,
506,Average,moderate involvement,
507,Average,moderate involvement,
508,low,low involvement,
509,low,moderate involvement,
510,Average,low involvement,
511,high,low involvement,
512,Average,low involvement,
513,high,low involvement,
514,Average,low involvement,
515,Average,low involvement,
516,Average,low involvement,
517,below average,low involvement,
518,Average,moderate involvement,
519,Average,low involvement,
520,high,low involvement,
521,Average,low involvement,
522,high,moderate involvement,
523,Average,low involvement,
524,low,moderate involvement,
525,Average,low involvement,
526,Average,low involvement,
527,Average,moderate involvement,
528,Average,moderate involvement,
529,Average,low involvement,
530,Average,low involvement,
531,Average,moderate involvement,
532,Average,low involvement,
533,Average,high involvement,
534,Average,moderate involvement,
535,Average,moderate involvement,
536,Average,low involvement,
537,high,moderate involvement,
538,below average,low involvement,
539,low,moderate involvement,
540,Average,low involvement,
541,Average,low involvement,
542,Average,low involvement,
543,high,low involvement,
544,Average,low involvement,
545,Average,low involvement,
546,Average,low involvement,
547,Average,low involvement,
548,low,moderate involvement,
549,Average,low involvement,
550,Average,low involvement,
551,Average,low involvement,
552,Average,low involvement,
553,Average,low involvement,
554,Average,low involvement,
555,Average,low involvement,
556,high,moderate involvement,
557,Average,moderate involvement,
558,Average,low involvement,
559,high,low involvement,
560,Average,low involvement,
561,Average,low involvement,
562,high,low involvement,
563,Average,low involvement,
564,Average,low involvement,
565,high,low involvement,
566,high,moderate involvement,
567,Average,low involvement,
568,Average,low involvement,
569,high,low involvement,
570,Average,low involvement,
571,Average,moderate involvement,
572,Average,low involvement,
573,below average,high involvement,
574,Average,low involvement,
575,below average,low involvement,
576,Average,low involvement,
577,high,low involvement,
578,Average,moderate involvement,
579,below average,moderate involvement,
580,high,low involvement,
581,Average,low involvement,
582,Average,low involvement,
583,Average,low involvement,
584,Average,low involvement,
585,below average,low involvement,
586,Average,low involvement,
587,Average,low involvement,
588,Average,moderate involvement,
589,Average,moderate involvement,
590,Average,low involvement,
591,Average,low involvement,
592,below average,moderate involvement,
593,Average,moderate involvement,
594,Average,low involvement,
595,below average,low involvement,
596,below average,low involvement,
597,below average,moderate involvement,
598,Average,low involvement,
599,Average,low involvement,
600,Average,low involvement,
601,Average,low involvement,
602,below average,low involvement,
603,Average,low involvement,
604,high,low involvement,
605,high,low involvement,
606,Average,low involvement,
607,below average,low involvement,
608,Average,low involvement,
609,high,moderate involvement,
610,Average,low involvement,
611,high,low involvement,
612,below average,low involvement,
613,Average,low involvement,
614,high,low involvement,
615,below average,low involvement,
616,high,low involvement,
617,low,low involvement,
618,below average,low involvement,
619,Average,high involvement,
620,Average,high involvement,
621,below average,low involvement,
622,Average,low involvement,
623,Average,low involvement,
624,below average,moderate involvement,
625,Average,low involvement,
626,high,low involvement,
627,Average,low involvement,
628,below average,low involvement,
629,below average,moderate involvement,
630,high,low involvement,
631,Average,moderate involvement,
632,high,low involvement,
633,high,low involvement,
634,Average,low involvement,
635,high,low involvement,
636,below average,low involvement,
637,Average,low involvement,
638,Average,moderate involvement,
639,Average,high involvement,
640,Average,moderate involvement,
641,Average,moderate involvement,
642,Average,low involvement,
643,Average,moderate involvement,
644,Average,low involvement,
645,Average,low involvement,
646,below average,low involvement,
647,below average,moderate involvement,
648,high,low involvement,
649,high,moderate involvement,
650,Average,low involvement,
651,Average,low involvement,
652,Average,low involvement,
653,Average,low involvement,
654,Average,low involvement,
655,below average,low involvement,
656,Average,low involvement,
657,low,low involvement,
658,Average,low involvement,
659,Average,low involvement,
660,low,moderate involvement,
661,Average,high involvement,
662,high,low involvement,
663,Average,low involvement,
664,low,low involvement,
665,Average,low involvement,
666,Average,low involvement,
667,high,low involvement,
668,Average,low involvement,
669,Average,low involvement,
670,below average,low involvement,
671,Average,low involvement,
672,high,moderate involvement,
673,low,moderate involvement,
674,low,moderate involvement,
675,Average,moderate involvement,
676,Average,low involvement,
677,Average,low involvement,
678,Average,high involvement,
679,Average,moderate involvement,
680,Average,low involvement,
681,Average,low involvement,
682,Average,low involvement,
683,Average,low involvement,
684,Average,low involvement,
685,Average,low involvement,
686,high,low involvement,
687,Average,low involvement,
688,Average,low involvement,
689,Average,low involvement,
690,high,low involvement,
691,Average,low involvement,
692,below average,low involvement,
693,Average,low involvement,
694,low,high involvement,
695,Average,moderate involvement,
696,Average,moderate involvement,
697,Average,moderate involvement,
698,Average,moderate involvement,
699,below average,low involvement,
700,Average,low involvement,
701,Average,moderate involvement,
702,below average,low involvement,
703,Average,moderate involvement,
704,below average,moderate involvement,
705,Average,low involvement,
706,Average,high involvement,
707,Average,low involvement,
708,high,low involvement,
709,Average,low involvement,
710,Average,moderate involvement,
711,below average,low involvement,
712,Average,low involvement,
713,Average,low involvement,
714,Average,low involvement,
715,low,low involvement,
716,Average,low involvement,
717,Average,low involvement,
718,Average,moderate involvement,
719,Average,low involvement,
720,below average,low involvement,
721,Average,moderate involvement,
722,Average,moderate involvement,
723,Average,moderate involvement,
724,high,low involvement,
725,below average,low involvement,
726,Average,low involvement,
727,below average,low involvement,
728,Average,low involvement,
729,Average,low involvement,
730,high,moderate involvement,
731,high,low involvement,
732,high,low involvement,
733,Average,moderate involvement,
734,Average,low involvement,
735,Average,low involvement,
736,Average,low involvement,
737,Average,low involvement,
738,low,low involvement,
739,high,low involvement,
740,below average,low involvement,
741,Average,low involvement,
742,below average,low involvement,
743,Average,low involvement,
744,high,low involvement,
745,Average,low involvement,
746,high,low involvement,
747,Average,low involvement,
748,below average,low involvement,
749,Average,low involvement,
750,Average,low involvement,
751,high,low involvement,
752,high,low involvement,
753,low,low involvement,
754,Average,moderate involvement,
755,below average,low involvement,
756,high,low involvement,
757,high,low involvement,
758,high,moderate involvement,
759,Average,low involvement,
760,below average,high involvement,
761,Average,low involvement,
762,Average,low involvement,
763,below average,low involvement,
764,high,low involvement,
765,Average,moderate involvement,
766,Average,low involvement,
767,Average,low involvement,
768,Average,low involvement,
769,Average,low involvement,
770,high,low involvement,
771,Average,low involvement,
772,Average,low involvement,
773,Average,low involvement,
774,Average,low involvement,
775,high,low involvement,
776,Average,low involvement,
777,low,moderate involvement,
778,Average,low involvement,
779,Average,low involvement,
780,below average,very high involvement,
781,Average,low involvement,
782,high,low involvement,
783,below average,moderate involvement,
784,Average,low involvement,
785,Average,low involvement,
786,high,low involvement,
787,Average,moderate involvement,
788,Average,low involvement,
789,Average,low involvement,
790,Average,moderate involvement,
791,Average,low involvement,
792,high,moderate involvement,
793,below average,low involvement,
794,Average,low involvement,
795,high,low involvement,
796,Average,low involvement,
797,Average,low involvement,
798,Average,low involvement,
799,high,low involvement,
800,low,low involvement,
801,Average,low involvement,
802,Average,low involvement,
803,Average,low involvement,
804,Average,high involvement,
805,below average,low involvement,
806,high,low involvement,
807,Average,low involvement,
808,Average,moderate involvement,
809,below average,low involvement,
810,high,low involvement,
811,low,very high involvement,
812,below average,low involvement,
813,below average,high involvement,
814,Average,low involvement,
815,below average,low involvement,
816,below average,low involvement,
817,high,low involvement,
818,Average,low involvement,
819,Average,low involvement,
820,Average,low involvement,
821,high,low involvement,
822,high,low involvement,
823,Average,moderate involvement,
824,high,low involvement,
825,high,low involvement,
826,low,low involvement,
827,below average,low involvement,
828,Average,low involvement,
829,high,low involvement,
830,below average,low involvement,
831,Average,low involvement,
832,Average,low involvement,
833,Average,moderate involvement,
834,Average,moderate involvement,
835,high,moderate involvement,
836,Average,low involvement,
837,Average,moderate involvement,
838,Average,low involvement,
839,Average,low involvement,
840,high,low involvement,
841,high,low involvement,
842,high,low involvement,
843,Average,low involvement,
844,Average,low involvement,
845,Average,high involvement,
846,Average,moderate involvement,
847,Average,low involvement,
848,Average,low involvement,
849,Average,low involvement,
850,Average,low involvement,
851,Average,low involvement,
852,high,high involvement,
853,Average,low involvement,
854,high,low involvement,
855,Average,low involvement,
856,Average,high involvement,
857,below average,moderate involvement,
858,Average,low involvement,
859,Average,low involvement,
860,Average,low involvement,
861,Average,moderate involvement,
862,Average,low involvement,
863,high,high involvement,
864,Average,low involvement,
865,Average,low involvement,
866,below average,low involvement,
867,high,low involvement,
868,high,moderate involvement,
869,below average,low involvement,
870,Average,low involvement,
871,Average,low involvement,
872,Average,moderate involvement,
873,high,low involvement,
874,Average,moderate involvement,
875,below average,low involvement,
876,Average,low involvement,
877,Average,low involvement,
878,Average,low involvement,
879,Average,low involvement,
880,below average,low involvement,
881,high,low involvement,
882,below average,low involvement,
883,high,low involvement,
884,Average,low involvement,
885,Average,low involvement,
886,high,low involvement,
887,Average,moderate involvement,
888,high,low involvement,
889,Average,low involvement,
890,low,high involvement,
891,high,high involvement,
892,high,low involvement,
893,Average,low involvement,
894,below average,low involvement,
895,high,low involvement,
896,high,low involvement,
897,Average,moderate involvement,
898,Average,low involvement,
899,Average,high involvement,
900,high,moderate involvement,
901,Average,low involvement,
902,Average,low involvement,
903,below average,low involvement,
904,Average,low involvement,
905,Average,low involvement,
906,Average,low involvement,
907,high,moderate involvement,
908,high,low involvement,
909,Average,low involvement,
910,below average,low involvement,
911,below average,low involvement,
912,Average,low involvement,
913,high,low involvement,
914,high,low involvement,
915,Average,low involvement,
916,Average,low involvement,
917,Average,moderate involvement,
918,low,low involvement,
919,below average,moderate involvement,
920,Average,low involvement,
921,high,low involvement,
922,high,low involvement,
923,Average,low involvement,
924,Average,low involvement,
925,below average,low involvement,
926,below average,low involvement,
927,Average,high involvement,
928,Average,low involvement,
929,Average,low involvement,
930,low,low involvement,
931,below average,low involvement,
932,high,low involvement,
933,high,low involvement,
934,Average,low involvement,
935,high,low involvement,
936,high,low involvement,
937,high,low involvement,
938,Average,low involvement,
939,Average,low involvement,
940,high,low involvement,
941,low,low involvement,
942,below average,moderate involvement,
943,Average,moderate involvement,
944,low,low involvement,
945,Average,high involvement,
946,high,moderate involvement,
947,Average,low involvement,
948,low,moderate involvement,
949,Average,low involvement,
950,Average,low involvement,
951,Average,moderate involvement,
952,high,low involvement,
953,high,low involvement,
954,Average,low involvement,
955,below average,moderate involvement,
956,below average,low involvement,
957,Average,moderate involvement,
958,high,low involvement,
959,Average,low involvement,
960,Average,low involvement,
961,high,high involvement,
962,Average,low involvement,
963,below average,low involvement,
964,below average,low involvement,
965,Average,low involvement,
966,below average,low involvement,
967,Average,low involvement,
968,below average,low involvement,
969,high,high involvement,
970,Average,very high involvement,
971,Average,low involvement,
972,high,low involvement,
973,Average,low involvement,
974,Average,low involvement,
975,Average,low involvement,
976,high,moderate involvement,
977,Average,low involvement,
978,high,low involvement,
979,Average,low involvement,
980,Average,low involvement,
981,high,low involvement,
982,high,low involvement,
983,below average,low involvement,
984,high,low involvement,
985,below average,low involvement,
986,high,low involvement,
987,Average,moderate involvement,
988,Average,low involvement,
989,high,low involvement,
990,below average,low involvement,
991,Average,low involvement,
992,Average,low involvement,
993,Average,high involvement,
994,Average,low involvement,
995,high,low involvement,
996,Average,low involvement,
997,high,low involvement,
998,Average,low involvement,
999,Average,low involvement,
1000,Average,low involvement,
1001,Average,low involvement,
1002,Average,low involvement,
1003,Average,high involvement,
1004,Average,low involvement,
1005,high,low involvement,
1006,Average,low involvement,
1007,Average,high involvement,
1008,Average,low involvement,
1009,Average,low involvement,
1010,Average,moderate involvement,
1011,Average,low involvement,
1012,Average,low involvement,
1013,Average,low involvement,
1014,high,low involvement,
1015,high,low involvement,
1016,Average,moderate involvement,
1017,Average,low involvement,
1018,high,low involvement,
1019,below average,low involvement,
1020,below average,moderate involvement,
1021,Average,low involvement,
1022,high,low involvement,
1023,below average,low involvement,
1024,Average,low involvement,
1025,Average,moderate involvement,
1026,below average,moderate involvement,
1027,Average,low involvement,
1028,Average,low involvement,
1029,below average,low involvement,
1030,Average,low involvement,
1031,Average,low involvement,
1032,Average,low involvement,
1033,Average,low involvement,
1034,below average,low involvement,
1035,Average,low involvement,
1036,Average,low involvement,
1037,high,low involvement,
1038,Average,low involvement,
1039,Average,low involvement,
1040,Average,low involvement,
1041,below average,moderate involvement,
1042,Average,moderate involvement,
1043,high,low involvement,
1044,below average,low involvement,
1045,Average,moderate involvement,
1046,Average,low involvement,
1047,Average,low involvement,
1048,Average,low involvement,
1049,below average,moderate involvement,
1050,below average,low involvement,
1051,high,low involvement,
1052,Average,low involvement,
1053,Average,moderate involvement,
1054,high,low involvement,
1055,high,low involvement,
1056,Average,moderate involvement,
1057,Average,low involvement,
1058,Average,moderate involvement,
1059,low,low involvement,
1060,Average,low involvement,
1061,high,low involvement,
1062,Average,high involvement,
1063,Average,low involvement,
1064,high,low involvement,
1065,below average,moderate involvement,
1066,Average,low involvement,
1067,Average,moderate involvement,
1068,Average,high involvement,
1069,Average,low involvement,
1070,Average,low involvement,
1071,Average,moderate involvement,
1072,high,low involvement,
1073,below average,low involvement,
1074,Average,low involvement,
1075,below average,low involvement,
1076,Average,low involvement,
1077,Average,moderate involvement,
1078,Average,low involvement,
1079,high,low involvement,
1080,Average,low involvement,
1081,Average,low involvement,
1082,high,moderate involvement,
1083,below average,low involvement,
1084,Average,low involvement,
1085,below average,high involvement,
1086,high,moderate involvement,
1087,high,low involvement,
1088,Average,low involvement,
1089,Average,low involvement,
1090,Average,high involvement,
1091,Average,low involvement,
1092,Average,low involvement,
1093,high,low involvement,
1094,high,low involvement,
1095,Average,low involvement,
1096,Average,low involvement,
1097,Average,low involvement,
1098,Average,low involvement,
1099,Average,moderate involvement,
1100,Average,low involvement,
1101,Average,low involvement,
1102,Average,low involvement,
1103,low,low involvement,
1104,high,low involvement,
1105,low,low involvement,
1106,Average,low involvement,
1107,Average,high involvement,
1108,Average,low involvement,
1109,below average,low involvement,
1110,below average,low involvement,
1111,high,low involvement,
1112,Average,low involvement,
1113,high,moderate involvement,
1114,Average,low involvement,
1115,below average,low involvement,
1116,Average,low involvement,
1117,Average,low involvement,
1118,Average,low involvement,
1119,Average,low involvement,
1120,Average,low involvement,
1121,Average,low involvement,
1122,high,low involvement,
1123,Average,moderate involvement,
1124,high,low involvement,
1125,high,low involvement,
1126,low,low involvement,
1127,Average,moderate involvement,
1128,Average,low involvement,
1129,Average,moderate involvement,
1130,below average,very high involvement,
1131,low,low involvement,
1132,high,low involvement,
1133,Average,low involvement,
1134,Average,low involvement,
1135,Average,moderate involvement,
1136,below average,low involvement,
1137,Average,low involvement,
1138,Average,high involvement,
1139,Average,low involvement,
1140,Average,low involvement,
1141,low,low involvement,
1142,high,low involvement,
1143,Average,low involvement,
1144,Average,low involvement,
1145,Average,moderate involvement,
1146,Average,moderate involvement,
1147,Average,low involvement,
1148,Average,low involvement,
1149,Average,low involvement,
1150,high,low involvement,
1151,high,low involvement,
1152,Average,low involvement,
1153,Average,low involvement,
1154,Average,low involvement,
1155,high,low involvement,
1156,Average,low involvement,
1157,high,moderate involvement,
1158,Average,low involvement,
1159,high,moderate involvement,
1160,high,moderate involvement,
1161,high,high involvement,
1162,Average,low involvement,
1163,high,low involvement,
1164,Average,low involvement,
1165,Average,low involvement,
1166,high,moderate involvement,
1167,Average,low involvement,
1168,Average,moderate involvement,
1169,Average,moderate involvement,
1170,high,low involvement,
1171,Average,moderate involvement,
1172,high,moderate involvement,
1173,Average,low involvement,
1174,high,low involvement,
1175,Average,low involvement,
1176,Average,low involvement,
1177,Average,moderate involvement,
1178,high,low involvement,
1179,Average,low involvement,
1180,Average,low involvement,
1181,below average,low involvement,
1182,high,low involvement,
1183,high,low involvement,
1184,Average,low involvement,
1185,Average,low involvement,
1186,below average,low involvement,
1187,high,low involvement,
1188,high,low involvement,
1189,high,low involvement,
1190,Average,low involvement,
1191,Average,moderate involvement,
1192,Average,moderate involvement,
1193,Average,low involvement,
1194,Average,low involvement,
1195,below average,low involvement,
1196,high,low involvement,
1197,Average,low involvement,
1198,Average,low involvement,
1199,low,low involvement,
1200,Average,low involvement,
1201,Average,very high involvement,
1202,Average,low involvement,
1203,below average,low involvement,
1204,high,low involvement,
1205,Average,low involvement,
1206,Average,moderate involvement,
1207,low,low involvement,
1208,Average,low involvement,
1209,Average,low involvement,
1210,Average,low involvement,
1211,Average,high involvement,
1212,high,low involvement,
1213,low,low involvement,
1214,Average,high involvement,
1215,below average,low involvement,
1216,below average,low involvement,
1217,high,low involvement,
1218,below average,low involvement,
1219,Average,low involvement,
1220,high,low involvement,
1221,high,low involvement,
1222,Average,low involvement,
1223,Average,low involvement,
1224,Average,moderate involvement,
1225,Average,low involvement,
1226,high,low involvement,
1227,Average,moderate involvement,
1228,high,low involvement,
1229,high,moderate involvement,
1230,high,high involvement,
1231,Average,low involvement,
1232,low,low involvement,
1233,Average,low involvement,
1234,Average,low involvement,
1235,Average,low involvement,
1236,Average,low involvement,
